  WARNING: 3 NaN fold(s) excluded from train mean for Cox/mean
  WARNING: 3 NaN fold(s) excluded from test mean for Cox/mean
  WARNING: 3 NaN fold(s) excluded from train mean for Cox/median
  WARNING: 3 NaN fold(s) excluded from test mean for Cox/median
  WARNING: 3 NaN fold(s) excluded from train mean for Cox/knn
  WARNING: 3 NaN fold(s) excluded from test mean for Cox/knn
  WARNING: 3 NaN fold(s) excluded from train mean for Cox/imputer_bayesian
  WARNING: 3 NaN fold(s) excluded from test mean for Cox/imputer_bayesian
|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
| (0.1, 'Cox')         | 0.731 ± 0.017 | 0.720 ± 0.011 | 0.787 ± 0.015      | 0.787 ± 0.013 | 0.786 ± 0.015 | 0.785 ± 0.015 |
| (0.1, 'Cox Simple')  | 0.691 ± 0.019 | 0.606 ± 0.027 | 0.723 ± 0.038      | 0.759 ± 0.010 | 0.753 ± 0.023 | 0.748 ± 0.013 |
| (0.1, 'Cox Vanilla') | 0.748 ± 0.019 | 0.656 ± 0.075 | 0.782 ± 0.015      | 0.780 ± 0.014 | 0.782 ± 0.016 | 0.778 ± 0.019 |
| (0.1, 'RSF')         | 0.789 ± 0.013 | 0.717 ± 0.019 | 0.791 ± 0.011      | 0.791 ± 0.012 | 0.790 ± 0.012 | 0.791 ± 0.010 |
| (0.3, 'Cox')         | 0.672 ± 0.017 | 0.679 ± 0.027 | 0.773 ± 0.016      | 0.766 ± 0.013 | 0.768 ± 0.014 | 0.766 ± 0.014 |
| (0.3, 'Cox Simple')  | 0.637 ± 0.015 | 0.583 ± 0.081 | 0.723 ± 0.035      | 0.721 ± 0.019 | 0.738 ± 0.024 | 0.750 ± 0.015 |
| (0.3, 'Cox Vanilla') | 0.701 ± 0.014 | 0.652 ± 0.045 | 0.766 ± 0.016      | 0.757 ± 0.019 | 0.763 ± 0.017 | 0.761 ± 0.016 |
| (0.3, 'RSF')         | 0.771 ± 0.012 | 0.700 ± 0.012 | 0.776 ± 0.016      | 0.772 ± 0.011 | 0.773 ± 0.011 | 0.775 ± 0.011 |
| (0.5, 'Cox')         | 0.627 ± 0.016 | 0.648 ± 0.019 | 0.748 ± 0.018      | 0.735 ± 0.014 | 0.742 ± 0.012 | 0.739 ± 0.012 |
| (0.5, 'Cox Simple')  | 0.581 ± 0.021 | 0.528 ± 0.040 | 0.651 ± 0.048      | 0.696 ± 0.038 | 0.695 ± 0.033 | 0.728 ± 0.009 |
| (0.5, 'Cox Vanilla') | 0.648 ± 0.019 | 0.638 ± 0.032 | 0.737 ± 0.022      | 0.720 ± 0.008 | 0.732 ± 0.015 | 0.731 ± 0.012 |
| (0.5, 'RSF')         | 0.741 ± 0.016 | 0.673 ± 0.015 | 0.753 ± 0.017      | 0.740 ± 0.015 | 0.746 ± 0.014 | 0.747 ± 0.013 |
| (0.7, 'Cox')         | 0.575 ± 0.011 | 0.623 ± 0.022 | 0.708 ± 0.016      | 0.688 ± 0.014 | 0.708 ± 0.016 | 0.702 ± 0.020 |
| (0.7, 'Cox Simple')  | 0.559 ± 0.010 | 0.575 ± 0.047 | 0.606 ± 0.047      | 0.659 ± 0.014 | 0.674 ± 0.023 | 0.685 ± 0.025 |
| (0.7, 'Cox Vanilla') | 0.584 ± 0.012 | 0.618 ± 0.029 | 0.698 ± 0.017      | 0.664 ± 0.013 | 0.699 ± 0.018 | 0.696 ± 0.019 |
| (0.7, 'RSF')         | 0.699 ± 0.017 | 0.634 ± 0.024 | 0.714 ± 0.019      | 0.704 ± 0.012 | 0.711 ± 0.014 | 0.712 ± 0.014 |
| (0.9, 'Cox')         | 0.522 ± 0.010 | 0.534 ± 0.020 | 0.623 ± 0.008      | 0.587 ± 0.010 | 0.627 ± 0.005 | 0.618 ± 0.002 |
| (0.9, 'Cox Simple')  | 0.522 ± 0.015 | 0.507 ± 0.037 | 0.581 ± 0.043      | 0.552 ± 0.025 | 0.613 ± 0.004 | 0.616 ± 0.013 |
| (0.9, 'Cox Vanilla') | 0.546 ± 0.013 | 0.550 ± 0.023 | 0.626 ± 0.012      | 0.573 ± 0.010 | 0.631 ± 0.016 | 0.622 ± 0.023 |
| (0.9, 'RSF')         | 0.612 ± 0.017 | 0.545 ± 0.010 | 0.619 ± 0.018      | 0.611 ± 0.015 | 0.630 ± 0.013 | 0.635 ± 0.016 |
|                      | constant      | embeddings    | imputer_bayesian   | knn           | mean          | median        |
|:---------------------|:--------------|:--------------|:-------------------|:--------------|:--------------|:--------------|
| (0.1, 'Cox')         | 0.743 ± 0.005 | 0.925 ± 0.001 | 0.795 ± 0.003      | 0.793 ± 0.003 | 0.793 ± 0.003 | 0.793 ± 0.002 |
| (0.1, 'Cox Simple')  | 0.705 ± 0.022 | 0.925 ± 0.004 | 0.737 ± 0.045      | 0.768 ± 0.012 | 0.760 ± 0.029 | 0.757 ± 0.027 |
| (0.1, 'Cox Vanilla') | 0.798 ± 0.007 | 0.929 ± 0.005 | 0.802 ± 0.005      | 0.800 ± 0.005 | 0.800 ± 0.005 | 0.798 ± 0.005 |
| (0.1, 'RSF')         | 0.908 ± 0.001 | 0.966 ± 0.001 | 0.903 ± 0.001      | 0.904 ± 0.001 | 0.901 ± 0.001 | 0.895 ± 0.001 |
| (0.3, 'Cox')         | 0.691 ± 0.006 | 0.921 ± 0.001 | 0.779 ± 0.004      | 0.774 ± 0.005 | 0.776 ± 0.004 | 0.774 ± 0.003 |
| (0.3, 'Cox Simple')  | 0.661 ± 0.007 | 0.919 ± 0.006 | 0.723 ± 0.031      | 0.727 ± 0.024 | 0.744 ± 0.012 | 0.754 ± 0.007 |
| (0.3, 'Cox Vanilla') | 0.784 ± 0.013 | 0.923 ± 0.002 | 0.781 ± 0.005      | 0.773 ± 0.008 | 0.778 ± 0.009 | 0.777 ± 0.007 |
| (0.3, 'RSF')         | 0.905 ± 0.002 | 0.969 ± 0.002 | 0.908 ± 0.003      | 0.903 ± 0.002 | 0.890 ± 0.001 | 0.874 ± 0.002 |
| (0.5, 'Cox')         | 0.649 ± 0.006 | 0.919 ± 0.001 | 0.757 ± 0.005      | 0.746 ± 0.008 | 0.754 ± 0.006 | 0.749 ± 0.005 |
| (0.5, 'Cox Simple')  | 0.609 ± 0.018 | 0.920 ± 0.006 | 0.662 ± 0.037      | 0.706 ± 0.025 | 0.705 ± 0.047 | 0.736 ± 0.011 |
| (0.5, 'Cox Vanilla') | 0.781 ± 0.035 | 0.922 ± 0.005 | 0.758 ± 0.008      | 0.749 ± 0.015 | 0.751 ± 0.014 | 0.750 ± 0.015 |
| (0.5, 'RSF')         | 0.885 ± 0.002 | 0.972 ± 0.001 | 0.907 ± 0.002      | 0.891 ± 0.002 | 0.868 ± 0.002 | 0.843 ± 0.002 |
| (0.7, 'Cox')         | 0.613 ± 0.005 | 0.916 ± 0.002 | 0.723 ± 0.005      | 0.705 ± 0.006 | 0.725 ± 0.005 | 0.719 ± 0.005 |
| (0.7, 'Cox Simple')  | 0.583 ± 0.005 | 0.915 ± 0.003 | 0.619 ± 0.046      | 0.672 ± 0.018 | 0.683 ± 0.019 | 0.692 ± 0.012 |
| (0.7, 'Cox Vanilla') | 0.733 ± 0.063 | 0.915 ± 0.005 | 0.718 ± 0.007      | 0.697 ± 0.010 | 0.718 ± 0.011 | 0.715 ± 0.010 |
| (0.7, 'RSF')         | 0.842 ± 0.004 | 0.975 ± 0.003 | 0.895 ± 0.006      | 0.880 ± 0.007 | 0.826 ± 0.005 | 0.797 ± 0.004 |
| (0.9, 'Cox')         | 0.576 ± 0.006 | 0.912 ± 0.001 | 0.654 ± 0.003      | 0.619 ± 0.001 | 0.659 ± 0.003 | 0.650 ± 0.001 |
| (0.9, 'Cox Simple')  | 0.553 ± 0.005 | 0.911 ± 0.004 | 0.600 ± 0.055      | 0.563 ± 0.018 | 0.631 ± 0.020 | 0.634 ± 0.011 |
| (0.9, 'Cox Vanilla') | 0.666 ± 0.048 | 0.914 ± 0.006 | 0.644 ± 0.014      | 0.610 ± 0.020 | 0.649 ± 0.008 | 0.643 ± 0.011 |
| (0.9, 'RSF')         | 0.772 ± 0.005 | 0.985 ± 0.002 | 0.888 ± 0.013      | 0.901 ± 0.018 | 0.743 ± 0.009 | 0.696 ± 0.006 |

=== NaN Ratio: 0.1 ===

-- Cox --
            constant | Train: 0.743 ± 0.005 | Test: 0.731 ± 0.017
          embeddings | Train: 0.925 ± 0.001 | Test: 0.720 ± 0.011
    imputer_bayesian | Train: 0.795 ± 0.003 | Test: 0.787 ± 0.015
                 knn | Train: 0.793 ± 0.003 | Test: 0.787 ± 0.013
                mean | Train: 0.793 ± 0.003 | Test: 0.786 ± 0.015
              median | Train: 0.793 ± 0.002 | Test: 0.785 ± 0.015

-- Cox Simple --
            constant | Train: 0.705 ± 0.022 | Test: 0.691 ± 0.019
          embeddings | Train: 0.925 ± 0.004 | Test: 0.606 ± 0.027
    imputer_bayesian | Train: 0.737 ± 0.045 | Test: 0.723 ± 0.038
                 knn | Train: 0.768 ± 0.012 | Test: 0.759 ± 0.010
                mean | Train: 0.760 ± 0.029 | Test: 0.753 ± 0.023
              median | Train: 0.757 ± 0.027 | Test: 0.748 ± 0.013

-- Cox Vanilla --
            constant | Train: 0.798 ± 0.007 | Test: 0.748 ± 0.019
          embeddings | Train: 0.929 ± 0.005 | Test: 0.656 ± 0.075
    imputer_bayesian | Train: 0.802 ± 0.005 | Test: 0.782 ± 0.015
                 knn | Train: 0.800 ± 0.005 | Test: 0.780 ± 0.014
                mean | Train: 0.800 ± 0.005 | Test: 0.782 ± 0.016
              median | Train: 0.798 ± 0.005 | Test: 0.778 ± 0.019

-- RSF --
            constant | Train: 0.908 ± 0.001 | Test: 0.789 ± 0.013
          embeddings | Train: 0.966 ± 0.001 | Test: 0.717 ± 0.019
    imputer_bayesian | Train: 0.903 ± 0.001 | Test: 0.791 ± 0.011
                 knn | Train: 0.904 ± 0.001 | Test: 0.791 ± 0.012
                mean | Train: 0.901 ± 0.001 | Test: 0.790 ± 0.012
              median | Train: 0.895 ± 0.001 | Test: 0.791 ± 0.010

=== NaN Ratio: 0.3 ===

-- Cox --
            constant | Train: 0.691 ± 0.006 | Test: 0.672 ± 0.017
          embeddings | Train: 0.921 ± 0.001 | Test: 0.679 ± 0.027
    imputer_bayesian | Train: 0.779 ± 0.004 | Test: 0.773 ± 0.016
                 knn | Train: 0.774 ± 0.005 | Test: 0.766 ± 0.013
                mean | Train: 0.776 ± 0.004 | Test: 0.768 ± 0.014
              median | Train: 0.774 ± 0.003 | Test: 0.766 ± 0.014

-- Cox Simple --
            constant | Train: 0.661 ± 0.007 | Test: 0.637 ± 0.015
          embeddings | Train: 0.919 ± 0.006 | Test: 0.583 ± 0.081
    imputer_bayesian | Train: 0.723 ± 0.031 | Test: 0.723 ± 0.035
                 knn | Train: 0.727 ± 0.024 | Test: 0.721 ± 0.019
                mean | Train: 0.744 ± 0.012 | Test: 0.738 ± 0.024
              median | Train: 0.754 ± 0.007 | Test: 0.750 ± 0.015

-- Cox Vanilla --
            constant | Train: 0.784 ± 0.013 | Test: 0.701 ± 0.014
          embeddings | Train: 0.923 ± 0.002 | Test: 0.652 ± 0.045
    imputer_bayesian | Train: 0.781 ± 0.005 | Test: 0.766 ± 0.016
                 knn | Train: 0.773 ± 0.008 | Test: 0.757 ± 0.019
                mean | Train: 0.778 ± 0.009 | Test: 0.763 ± 0.017
              median | Train: 0.777 ± 0.007 | Test: 0.761 ± 0.016

-- RSF --
            constant | Train: 0.905 ± 0.002 | Test: 0.771 ± 0.012
          embeddings | Train: 0.969 ± 0.002 | Test: 0.700 ± 0.012
    imputer_bayesian | Train: 0.908 ± 0.003 | Test: 0.776 ± 0.016
                 knn | Train: 0.903 ± 0.002 | Test: 0.772 ± 0.011
                mean | Train: 0.890 ± 0.001 | Test: 0.773 ± 0.011
              median | Train: 0.874 ± 0.002 | Test: 0.775 ± 0.011

=== NaN Ratio: 0.5 ===

-- Cox --
            constant | Train: 0.649 ± 0.006 | Test: 0.627 ± 0.016
          embeddings | Train: 0.919 ± 0.001 | Test: 0.648 ± 0.019
    imputer_bayesian | Train: 0.757 ± 0.005 | Test: 0.748 ± 0.018
                 knn | Train: 0.746 ± 0.008 | Test: 0.735 ± 0.014
                mean | Train: 0.754 ± 0.006 | Test: 0.742 ± 0.012
              median | Train: 0.749 ± 0.005 | Test: 0.739 ± 0.012

-- Cox Simple --
            constant | Train: 0.609 ± 0.018 | Test: 0.581 ± 0.021
          embeddings | Train: 0.920 ± 0.006 | Test: 0.528 ± 0.040
    imputer_bayesian | Train: 0.662 ± 0.037 | Test: 0.651 ± 0.048
                 knn | Train: 0.706 ± 0.025 | Test: 0.696 ± 0.038
                mean | Train: 0.705 ± 0.047 | Test: 0.695 ± 0.033
              median | Train: 0.736 ± 0.011 | Test: 0.728 ± 0.009

-- Cox Vanilla --
            constant | Train: 0.781 ± 0.035 | Test: 0.648 ± 0.019
          embeddings | Train: 0.922 ± 0.005 | Test: 0.638 ± 0.032
    imputer_bayesian | Train: 0.758 ± 0.008 | Test: 0.737 ± 0.022
                 knn | Train: 0.749 ± 0.015 | Test: 0.720 ± 0.008
                mean | Train: 0.751 ± 0.014 | Test: 0.732 ± 0.015
              median | Train: 0.750 ± 0.015 | Test: 0.731 ± 0.012

-- RSF --
            constant | Train: 0.885 ± 0.002 | Test: 0.741 ± 0.016
          embeddings | Train: 0.972 ± 0.001 | Test: 0.673 ± 0.015
    imputer_bayesian | Train: 0.907 ± 0.002 | Test: 0.753 ± 0.017
                 knn | Train: 0.891 ± 0.002 | Test: 0.740 ± 0.015
                mean | Train: 0.868 ± 0.002 | Test: 0.746 ± 0.014
              median | Train: 0.843 ± 0.002 | Test: 0.747 ± 0.013

=== NaN Ratio: 0.7 ===

-- Cox --
            constant | Train: 0.613 ± 0.005 | Test: 0.575 ± 0.011
          embeddings | Train: 0.916 ± 0.002 | Test: 0.623 ± 0.022
    imputer_bayesian | Train: 0.723 ± 0.005 | Test: 0.708 ± 0.016
                 knn | Train: 0.705 ± 0.006 | Test: 0.688 ± 0.014
                mean | Train: 0.725 ± 0.005 | Test: 0.708 ± 0.016
              median | Train: 0.719 ± 0.005 | Test: 0.702 ± 0.020

-- Cox Simple --
            constant | Train: 0.583 ± 0.005 | Test: 0.559 ± 0.010
          embeddings | Train: 0.915 ± 0.003 | Test: 0.575 ± 0.047
    imputer_bayesian | Train: 0.619 ± 0.046 | Test: 0.606 ± 0.047
                 knn | Train: 0.672 ± 0.018 | Test: 0.659 ± 0.014
                mean | Train: 0.683 ± 0.019 | Test: 0.674 ± 0.023
              median | Train: 0.692 ± 0.012 | Test: 0.685 ± 0.025

-- Cox Vanilla --
            constant | Train: 0.733 ± 0.063 | Test: 0.584 ± 0.012
          embeddings | Train: 0.915 ± 0.005 | Test: 0.618 ± 0.029
    imputer_bayesian | Train: 0.718 ± 0.007 | Test: 0.698 ± 0.017
                 knn | Train: 0.697 ± 0.010 | Test: 0.664 ± 0.013
                mean | Train: 0.718 ± 0.011 | Test: 0.699 ± 0.018
              median | Train: 0.715 ± 0.010 | Test: 0.696 ± 0.019

-- RSF --
            constant | Train: 0.842 ± 0.004 | Test: 0.699 ± 0.017
          embeddings | Train: 0.975 ± 0.003 | Test: 0.634 ± 0.024
    imputer_bayesian | Train: 0.895 ± 0.006 | Test: 0.714 ± 0.019
                 knn | Train: 0.880 ± 0.007 | Test: 0.704 ± 0.012
                mean | Train: 0.826 ± 0.005 | Test: 0.711 ± 0.014
              median | Train: 0.797 ± 0.004 | Test: 0.712 ± 0.014

=== NaN Ratio: 0.9 ===

-- Cox --
            constant | Train: 0.576 ± 0.006 | Test: 0.522 ± 0.010
          embeddings | Train: 0.912 ± 0.001 | Test: 0.534 ± 0.020
    imputer_bayesian | Train: 0.654 ± 0.003 | Test: 0.623 ± 0.008
                 knn | Train: 0.619 ± 0.001 | Test: 0.587 ± 0.010
                mean | Train: 0.659 ± 0.003 | Test: 0.627 ± 0.005
              median | Train: 0.650 ± 0.001 | Test: 0.618 ± 0.002

-- Cox Simple --
            constant | Train: 0.553 ± 0.005 | Test: 0.522 ± 0.015
          embeddings | Train: 0.911 ± 0.004 | Test: 0.507 ± 0.037
    imputer_bayesian | Train: 0.600 ± 0.055 | Test: 0.581 ± 0.043
                 knn | Train: 0.563 ± 0.018 | Test: 0.552 ± 0.025
                mean | Train: 0.631 ± 0.020 | Test: 0.613 ± 0.004
              median | Train: 0.634 ± 0.011 | Test: 0.616 ± 0.013

-- Cox Vanilla --
            constant | Train: 0.666 ± 0.048 | Test: 0.546 ± 0.013
          embeddings | Train: 0.914 ± 0.006 | Test: 0.550 ± 0.023
    imputer_bayesian | Train: 0.644 ± 0.014 | Test: 0.626 ± 0.012
